text,prediction
на территории базара самал проведены пожарно тактические учения тема пожарно тактического учения тушение пожаров в торговых центрах цель пожарно тактического учения отработка практических навыков личного состава противопожарных подразделений гарнизона города шымкент при тушении пожаров в торговых центрах продажа одежды и товаров народного потребления тренировка начальствующего состава в руководстве подразделениями при тушении пожаров на данных объектах отработка взаимодействия обслуживающего персонала с подразделениями гу служба пожаротушения и аср дчс г шымкент а также организация взаимодействия со службами жизнеобеспечения города в тактическом плане учения в одном из бутиков по продаже одежды на территории рынка происходит пожар из за замыкания электропроводки огонь распространяется по соседним бутикам охранники объекта оперативно сообщают в службу 101 по вызову 2 к месту пожарно тактического учения направлены силы и средства в соответствии с графиком выезда первые прибывшие подразделения приступают к защите путей эвакуации и выводу людей в безопасную зону а остальные подразделения проводят поиск обнаружение и тушение очага пожара распространение огня было предотвращено в учениях задействованы 8 основных и 2 специальных единиц пожарной техники службы пожаротушения и аварийно спасательных работ офицерский и личный состав сотрудники дчс г шымкент сотрудники центра медицины катастроф оперативно спасательного отряда экипаж дорожно патрульной службы дополнительно к месту происшествия привлечены и сотрудники 103 энергосетей водоканала стоит отметить что основные причины пожаров на рынках города которые произошли за последние 5 лет это нарушение правил монтажа и технической эксплуатации электрооборудования последний раз на рынке самал пожар произошел в октябре 2013 года группа по связям с общественностью дчс г шымкент,0
 в туркестане произошло дтп с участием автобуса и газели 13 октября 2022 года в дежурную часть уп г туркестана поступило сообщение о дорожно транспортном происшествии по прибытии на место полицейские установили что примерно в 08 00 утра на трассе самара шымкент столкнулись газель и пассажирский автобус марки yutong в результате дтп на месте происшествия от полученных травм скончался один из пассажиров автобуса житель туркестана еще пять пассажиров доставлены в больницу с различными травмами факт зарегистрирован по ст 345 ч 3 ук рк нарушение правил дорожного движения или эксплуатации транспортных средств лицами управляющими транспортными средствами назначены экспертизы водитель автомашины газель выехавший на встречную полосу задержан выясняются все обстоятельства произошедшего по материалам пресс службы дп туркестанской области,0
четырех водителей автобусов лишили прав за выезд на встречку в шымкенте в целях обеспечения безопасности пассажиров общественного транспорта и профилактики правонарушений со стороны водителей полицейские на постоянной основе проводят рейдовые мероприятия сообщает polisia kz в период проведения мероприятия совместно с сотрудниками инспекции транспортного контроля управления пассажирского транспорта и автомобильных дорог транспортной прокуратуры по городу шымкент были созданы мобильные группы и проверены автотранспорты осуществляющие пассажирские перевозки всего за 11 месяцев текущего года выявлено 3335 административных правонарушений совершенных водителями общественного транспорта по ч 7 ст 590 коап рк управление транспортным средством переоборудованным без соответствующего разрешения 225 фактов по ч 9 ст 590 коап рк непрохождение технического осмотра 335 по ст 591 коап рк использование мобильного телефона за рулем 902 по ст 595 коап рк нарушение правил маневрирования 365 кроме того за выезд на встречку 4 водителя автобуса лишены права управления транспортом www caravan kz,0
под председательством генерального прокурора берика асылова состоялось заседание коллегии по вопросам соблюдения законности в земельной сфере а также при приобретении медицинских изделий в работе коллегии приняли участие депутаты мажилиса парламента руководители министерств сельского хозяйства экологии геологии и природных ресурсов здравоохранения и другие заинтересованные лица открывая заседание по первому вопросу берик асылов отметил что в текущем году прокурорами государству возвращены неиспользуемые 1 5 млн га земли совместно с минсельхозом сокращен дефицит общественных пастбищ с 29 до 8 млн га в ско акмолинской и алматинской областях 11 тысячам пайщикам возвращены свыше 500 тысяч га земель проверками выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли пастбища и коммерческие участки из которых уже изъято в пользу государства 145 тысяч га по итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц управлений земельных отношений и сельского хозяйства акиматов г шымкент акмолинской атырауской алматинской и туркестанской областей а также отдельных землепользователей вко зко ско мангистауской и кызылординской регионов на сегодняшний день осуждено 9 виновных лиц к примеру в ско к 6 годам лишения свободы осужден руководитель предприятия за мошеннические действия с землями свыше 800 пайшиков берик асылов обратил внимание на важность работы уполномоченных органов по управлению пастбищами недопущению концентрации крупных участков в одних руках и усилению контроля за паевыми землями исключив любые серые схемы в т ч посредством спк продолжение в комментариях,0
дтп произошло 31 августа примерно в 7 55 на 446 километре трассы самара шымкент 46 летний водитель daewoo matiz не справился с рулевым управлением и автомобиль опрокинулся сообщает мой город в результате аварии водитель авто от полученных травм скончался на месте до приезда скорой помощи 38 летнюю женщину и 11 летнего мальчика доставили в центральную больницу сырымского района сообщили в дп зко в управлении здравоохранения зко сообщили что у женщины были диагностированы лишь ушибы ее отпустили на амбулаторное наблюдение ребёнок доставлен в областную детскую многопрофильную больницу о его состоянии врачи расскажут позже ведется досудебное расследование ,0
в шымкенте три сестры управляли целой преступной сетью они занимались сутенерством обманом заманивали молодых девушек и заставляли заниматься проституцией полицейские сообщают о 14 девушках вовлечённых в дело среди них шесть несовершеннолетних девушек держали на съёмных квартирах где подвергали к занятию проституцией в ряде случаев подозреваемые возили девушек в гостиницы и сауны сопровождая их лично девушки чтобы успокоить родственников говорили родителям что подрабатывают няньками присматривая за детьми сообщает полиция в рамках расследования задержаны 11 человек заведены 18 уголовных дел по статьям создание и участие в опг торговля людьми вовлечение несовершеннолетнего в занятие проституцией притоносодержание и сводничество вовлечение в занятие проституцией приобретение хранение перевозка наркотических средств ,0
орудовала преступная группа из 11 человек в шымкенте полиция расследует уголовное дело по факту вовлечения несовершеннолетних в занятие проституцией сводничество а также торговлю людьми с целью сексуальной эксплуатации в составе организованной преступной группы опг организовали три сестры роли каждого члена были четко расписаны вместе они занимались координацией преступной деятельности в городах шымкенте туркестане и таразе ,0
генпрокуратура сообщила что в результате проверок были выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли пастбища и коммерческие участки из которых в пользу государства изъяли 145 тысяч га об этом передаёт ulysmedia kz читайте также отец в акмолинской области насиловал свою дочь и сел за решетку по итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц управлений земельных отношений и сельского хозяйства акиматов шымкента акмолинской атырауской алматинской и туркестанской областей а также отдельных землепользователей вко зко ско мангистауской и кызылординской регионов на сегодняшний день осуждены девять виновных лиц олигополия генпрокуратура выходкправде улысмедиа,0
под председательством генерального прокурора берика асылова состоялось заседание коллегии по вопросам соблюдения законности в земельной сфере а также при приобретении медицинских изделий в работе коллегии приняли участие депутаты мажилиса парламента руководители министерств сельского хозяйства экологии геологии и природных ресурсов здравоохранения и другие заинтересованные лица открывая заседание по первому вопросу берик асылов отметил что в текущем году прокурорами государству возвращены неиспользуемые 1 5 млн га земли совместно с минсельхозом сокращен дефицит общественных пастбищ с 29 до 8 млн га в ско акмолинской и алматинской областях 11 тысячам пайщикам возвращены свыше 500 тысяч га земель проверками выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли пастбища и коммерческие участки из которых уже изъято в пользу государства 145 тысяч га по итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц управлений земельных отношений и сельского хозяйства акиматов г шымкент акмолинской атырауской алматинской и туркестанской областей а также отдельных землепользователей вко зко ско мангистауской и кызылординской регионов на сегодняшний день осуждено 9 виновных лиц к примеру в ско к 6 годам лишения свободы приговорен руководитель предприятия за мошеннические действия с землями свыше 800 пайшиков берик асылов обратил внимание на важность работы уполномоченных органов по управлению пастбищами недопущению концентрации крупных участков в одних руках и усилению контроля за паевыми землями исключив любые серые схемы в т ч посредством спк перед министерством сельского хозяйства поставлена задача по устранению нарушений законности с составлением конкретного плана действий вторым вопросом обсуждены результаты проверки деятельности национального центра экспертизы лекарственных средств и медицинских изделий прокурорской проверкой выявлены факты хищения бюджетных средств и закупа некачественной медтехники по завышенным ценам продолжение в комментариях ,0
о жуткой истории девочки сообщила казахстанская правозащитница дина тансари как оказалось школьница в сети пишет что ее насилует отец с 7 класса было 2 попытки суицида боится сообщать семья многодетная 7 детей проинформировала дина тансари школьница не публиковала личное видео а написала о происходящем в тексте комитет прав по защите детей отреагировал на информацию по данной ситуации сообщаем вопрос взят на особый контроль комитета по охране прав детей министерства просвещения республики казахстан правоохранительными органами города шымкент принимаются соответствующие меры и ведутся следственные мероприятия говорится в комментарии официальный представитель дп города шымкент салтанат каракозова также заявила что несовершеннолетняя девушка и ее родители отказались от каких либо заявлений в полицию и опровергают факт насилия данный факт зарегистрирован в ердр каратауского руп дп города шымкент по статье 122 ук рк половое сношение с лицом не достигшим 16 летнего возраста в рамках досудебного расследования проводятся все необходимые следственные действия в том числе назначены ряд экспертиз с подростком работают психологи однако несовершеннолетняя девушка и ее родители отказались от каких либо заявлений в полицию и опровергают факт насилия дело находится на особом контроле руководства дп города шымкент добавили в департаменте полиции ,0
